"","genus","binomial","body_mass","body_length","age","sex","longitude","latitude","status"
"27584","Delomys","Delomys dorsalis",44,100,"adult","male",-50.104172,-29.160204,"alive"
"27585","Delomys","Delomys dorsalis",60,120,"adult","male",-50.104172,-29.160204,"alive"
"27586","Delomys","Delomys dorsalis",12,62,"juvenile","female",-50.104172,-29.160204,"alive"
"27587","Delomys","Delomys dorsalis",50,116,"adult","female",-50.104172,-29.160204,"alive"
"27588","Delomys","Delomys dorsalis",35,110,"adult","female",-50.20897,-29.490729,"alive"
"27613","Delomys","Delomys dorsalis",39,114,"adult","male",-50.391601,-29.431914,"alive"
"27614","Delomys","Delomys dorsalis",47,95,"juvenile","female",-50.38715,-29.426836,"alive"
"27615","Delomys","Delomys dorsalis",45,116,"adult","female",-50.391601,-29.431914,"alive"
"27616","Delomys","Delomys dorsalis",38,108,"adult","female",-50.391601,-29.431914,"alive"
"27617","Delomys","Delomys dorsalis",40,110,"adult","female",-50.391601,-29.431914,"alive"
"27618","Delomys","Delomys dorsalis",43,117,"adult","male",-50.391601,-29.431914,"alive"
"27619","Delomys","Delomys dorsalis",44,116,"adult","female",-50.391601,-29.431914,"alive"
"27620","Delomys","Delomys dorsalis",40,115,"adult","female",-50.391601,-29.431914,"alive"
"27621","Delomys","Delomys dorsalis",51,120,"adult","male",-50.391601,-29.431914,"alive"
"27622","Delomys","Delomys dorsalis",51,120,"adult","female",-50.38715,-29.426836,"alive"
"27623","Delomys","Delomys dorsalis",51,112,"adult","female",-50.38715,-29.426836,"alive"
"27624","Delomys","Delomys dorsalis",40,116,"adult","female",-50.38715,-29.426836,"alive"
"27625","Delomys","Delomys dorsalis",54,116,"adult","female",-50.38715,-29.426836,"alive"
"27626","Delomys","Delomys dorsalis",45,115,"adult","male",-50.391601,-29.431914,"alive"
"27627","Delomys","Delomys dorsalis",51,129,"adult","female",-50.391601,-29.431914,"alive"
"27628","Delomys","Delomys dorsalis",61,121,"adult","male",-50.391601,-29.431914,"alive"
"27629","Delomys","Delomys dorsalis",50,100,"adult","female",-50.38715,-29.426836,"alive"
"27630","Delomys","Delomys dorsalis",47,116,"adult","male",-50.391601,-29.431914,"alive"
"27631","Delomys","Delomys dorsalis",44,110,"adult","female",-50.387945,-29.420098,"alive"
"27632","Delomys","Delomys dorsalis",43,115,"adult","male",-50.388398,-29.433909,"alive"
"27633","Delomys","Delomys dorsalis",66,117,"adult","female",-50.389769,-29.418484,"alive"
"27634","Delomys","Delomys dorsalis",36,110,"adult","female",-50.38715,-29.426836,"alive"
"27635","Delomys","Delomys dorsalis",43,112,"adult","male",-50.392287,-29.434648,"alive"
"27636","Delomys","Delomys dorsalis",43,111,"adult","female",-50.391601,-29.431914,"alive"
"27637","Delomys","Delomys dorsalis",44,109,"adult","female",-50.388398,-29.433909,"alive"
"27638","Delomys","Delomys dorsalis",46,125,"adult","male",-50.391601,-29.431914,"alive"
"27639","Delomys","Delomys dorsalis",64,117,"adult","female",-50.388358,-29.410736,"alive"
"27640","Delomys","Delomys dorsalis",54,121,"adult","female",-50.391601,-29.431914,"alive"
"27641","Delomys","Delomys dorsalis",45,111,"adult","female",-50.387945,-29.420098,"alive"
"27642","Delomys","Delomys dorsalis",62,127,"adult","male",-50.388398,-29.433909,"alive"
"27643","Delomys","Delomys dorsalis",62,132,"adult","male",-50.387945,-29.420098,"alive"
"27645","Delomys","Delomys dorsalis",54,125,"adult","male",-50.38715,-29.426836,"alive"
"27646","Delomys","Delomys dorsalis",42,111,"adult","female",-50.391601,-29.431914,"alive"
"27647","Delomys","Delomys dorsalis",35,113,"adult","female",-50.38715,-29.426836,"alive"
"27648","Delomys","Delomys dorsalis",51,124,"adult","male",-50.38715,-29.426836,"alive"
"27649","Delomys","Delomys dorsalis",36,107,"adult","female",-50.38715,-29.426836,"alive"
"27650","Delomys","Delomys dorsalis",50,118,"adult","female",-50.391601,-29.431914,"alive"
"27651","Delomys","Delomys dorsalis",60,120,"adult","female",-50.389769,-29.418484,"alive"
"27652","Delomys","Delomys dorsalis",46,113,"adult","male",-50.391601,-29.431914,"alive"
"27653","Delomys","Delomys dorsalis",46,110,"adult","male",-50.38715,-29.426836,"alive"
"27654","Delomys","Delomys dorsalis",62,130,"adult","male",-50.388358,-29.410736,"alive"
"27655","Delomys","Delomys dorsalis",46,118,"adult","male",-50.392287,-29.434648,"alive"
"27656","Delomys","Delomys dorsalis",76,131,"adult","male",-50.392287,-29.434648,"alive"
"27657","Delomys","Delomys dorsalis",44,111,"adult","female",-50.392287,-29.434648,"alive"
"27658","Delomys","Delomys dorsalis",50,114,"adult","female",-50.391601,-29.431914,"alive"
"27659","Delomys","Delomys dorsalis",36,97,"juvenile","female",-50.391601,-29.431914,"alive"
"27660","Delomys","Delomys dorsalis",50,105,"adult","male",-50.38715,-29.426836,"alive"
"27661","Delomys","Delomys dorsalis",54,126,"adult","female",-50.392287,-29.434648,"alive"
"27662","Delomys","Delomys dorsalis",38,106,"adult","female",-50.391601,-29.431914,"alive"
"27663","Delomys","Delomys dorsalis",54,117,"adult","female",-50.391601,-29.431914,"alive"
"27664","Delomys","Delomys dorsalis",42,119,"adult","male",-50.391601,-29.431914,"alive"
"27665","Delomys","Delomys dorsalis",60,123,"adult","female",-50.392287,-29.434648,"alive"
"27666","Delomys","Delomys dorsalis",91,136,"adult","male",-50.391601,-29.431914,"alive"
"27667","Delomys","Delomys dorsalis",48,113,"adult","female",-50.391601,-29.431914,"alive"
"27668","Delomys","Delomys dorsalis",32,106,"adult","male",-50.391601,-29.431914,"alive"
"27669","Delomys","Delomys dorsalis",58,126,"adult","female",-50.391601,-29.431914,"alive"
"27670","Delomys","Delomys dorsalis",14,84,"juvenile","female",-50.391601,-29.431914,"alive"
"27671","Delomys","Delomys dorsalis",48,117,"adult","male",-50.387945,-29.420098,"alive"
"27672","Delomys","Delomys dorsalis",53,118,"adult","female",-50.391601,-29.431914,"alive"
"27673","Delomys","Delomys dorsalis",44,122,"adult","male",-50.38715,-29.426836,"alive"
"27674","Delomys","Delomys dorsalis",34,109,"adult","male",-50.38715,-29.426836,"alive"
"27675","Delomys","Delomys dorsalis",14,116,"adult","female",-50.388398,-29.433909,"alive"
"27676","Delomys","Delomys dorsalis",71,132,"adult","male",-50.388398,-29.433909,"alive"
"27677","Delomys","Delomys dorsalis",43,105,"adult","male",-50.388398,-29.433909,"alive"
"27678","Delomys","Delomys dorsalis",43,112,"adult","female",-50.38715,-29.426836,"alive"
"27679","Delomys","Delomys dorsalis",58,126,"adult","male",-50.38715,-29.426836,"alive"
"27680","Delomys","Delomys dorsalis",36,103,"adult","male",-50.38715,-29.426836,"dead"
"27681","Delomys","Delomys dorsalis",44,110,"adult","female",-50.38715,-29.426836,"alive"
"27682","Delomys","Delomys dorsalis",43,106,"adult","female",-50.391601,-29.431914,"alive"
"27683","Delomys","Delomys dorsalis",47,121,"adult","male",-50.391601,-29.431914,"alive"
"27684","Delomys","Delomys dorsalis",37,113,"adult","female",-50.38715,-29.426836,"alive"
"27685","Delomys","Delomys dorsalis",30,105,"adult","male",-50.388398,-29.433909,"alive"
"27686","Delomys","Delomys dorsalis",38,105,"adult","female",-50.391601,-29.431914,"alive"
"27687","Delomys","Delomys dorsalis",21,84,"juvenile","male",-50.391601,-29.431914,"alive"
"27688","Delomys","Delomys dorsalis",45,111,"adult","female",-50.392287,-29.434648,"alive"
"27689","Delomys","Delomys dorsalis",36,115,"adult","male",-50.38715,-29.426836,"alive"
"27690","Delomys","Delomys dorsalis",72,126,"adult","female",-50.391601,-29.431914,"alive"
"27691","Delomys","Delomys dorsalis",70,125,"adult","male",-50.392287,-29.434648,"alive"
"27692","Delomys","Delomys dorsalis",59,121,"adult","male",-50.392287,-29.434648,"alive"
"27693","Delomys","Delomys dorsalis",37,110,"adult","male",-50.391601,-29.431914,"alive"
"27694","Delomys","Delomys dorsalis",36,110,"adult","female",-50.391601,-29.431914,"alive"
"27695","Delomys","Delomys dorsalis",30,106,"adult","male",-50.391601,-29.431914,"alive"
"27696","Delomys","Delomys dorsalis",54,120,"adult","female",-50.391601,-29.431914,"alive"
"27697","Delomys","Delomys dorsalis",52,117,"adult","male",-50.388398,-29.433909,"alive"
"27698","Delomys","Delomys dorsalis",61,124,"adult","male",-50.391601,-29.431914,"alive"
"27699","Delomys","Delomys dorsalis",35,109,"adult","male",-50.391601,-29.431914,"alive"
"27700","Delomys","Delomys dorsalis",45,116,"adult","female",-50.392287,-29.434648,"alive"
"27701","Delomys","Delomys dorsalis",34,100,"adult","female",-50.391601,-29.431914,"alive"
"27702","Delomys","Delomys dorsalis",41,151,"adult","female",-50.392287,-29.434648,"alive"
"27703","Delomys","Delomys dorsalis",38,102,"adult","male",-50.38715,-29.426836,"alive"
"27704","Delomys","Delomys dorsalis",42,109,"adult","female",-50.38715,-29.426836,"alive"
"27705","Delomys","Delomys dorsalis",51,123,"adult","female",-50.388398,-29.433909,"alive"
"27706","Delomys","Delomys dorsalis",44,121,"adult","female",-50.391601,-29.431914,"alive"
"27707","Delomys","Delomys dorsalis",59,126,"adult","female",-50.392287,-29.434648,"alive"
"27708","Delomys","Delomys dorsalis",65,132,"adult","female",-50.391601,-29.431914,"alive"
"27709","Delomys","Delomys dorsalis",68,131,"adult","male",-50.392287,-29.434648,"alive"
"27710","Delomys","Delomys dorsalis",63,132,"adult","male",-50.38715,-29.426836,"alive"
"27711","Delomys","Delomys dorsalis",54,130,"adult","female",-50.391601,-29.431914,"alive"
"27712","Delomys","Delomys dorsalis",60,124,"adult","male",-50.392287,-29.434648,"alive"
"27713","Delomys","Delomys dorsalis",44,119,"adult","female",-50.391601,-29.431914,"alive"
"27714","Delomys","Delomys dorsalis",49,112,"adult","male",-50.391601,-29.431914,"alive"
"27715","Delomys","Delomys dorsalis",40,104,"adult","female",-50.38715,-29.426836,"alive"
"27716","Delomys","Delomys dorsalis",53,122,"adult","male",-50.392287,-29.434648,"alive"
"27717","Delomys","Delomys dorsalis",17,81,"juvenile","female",-50.391601,-29.431914,"alive"
"27718","Delomys","Delomys dorsalis",53,111,"adult","female",-50.388398,-29.433909,"alive"
"27719","Delomys","Delomys dorsalis",45,119,"adult","female",-50.392287,-29.434648,"alive"
"27720","Delomys","Delomys dorsalis",26,83,"juvenile","female",-50.392287,-29.434648,"alive"
"27721","Delomys","Delomys dorsalis",56,120,"adult","male",-50.392287,-29.434648,"alive"
"27722","Delomys","Delomys dorsalis",58,120,"adult","male",-50.392287,-29.434648,"alive"
"27723","Delomys","Delomys dorsalis",34,106,"adult","female",-50.391601,-29.431914,"alive"
"27724","Delomys","Delomys dorsalis",44,105,"adult","female",-50.388398,-29.433909,"alive"
"27725","Delomys","Delomys dorsalis",42,117,"adult","female",-50.38715,-29.426836,"alive"
"27726","Delomys","Delomys dorsalis",48,117,"adult","female",-50.392287,-29.434648,"alive"
"27727","Delomys","Delomys dorsalis",43,114,"adult","female",-50.392287,-29.434648,"alive"
"27728","Delomys","Delomys dorsalis",44,112,"adult","female",-50.388398,-29.433909,"alive"
"27729","Delomys","Delomys dorsalis",54,111,"adult","female",-50.391601,-29.431914,"alive"
"27730","Delomys","Delomys dorsalis",44,116,"adult","female",-50.388398,-29.433909,"alive"
"27731","Delomys","Delomys dorsalis",59,105,"adult","female",-50.391601,-29.431914,"alive"
"27732","Delomys","Delomys dorsalis",46,119,"adult","male",-50.38715,-29.426836,"alive"
"27733","Delomys","Delomys dorsalis",45,104,"adult","female",-50.392287,-29.434648,"alive"
"27734","Delomys","Delomys dorsalis",48,118,"adult","female",-50.392287,-29.434648,"alive"
"27735","Delomys","Delomys dorsalis",50,130,"adult","male",-50.38715,-29.426836,"alive"
"27736","Delomys","Delomys dorsalis",48,112,"adult","male",-50.388398,-29.433909,"alive"
"27737","Delomys","Delomys dorsalis",53,108,"adult","female",-50.392287,-29.434648,"alive"
"27738","Delomys","Delomys dorsalis",43,109,"adult","female",-50.391601,-29.431914,"alive"
"27739","Delomys","Delomys dorsalis",41,110,"adult","female",-50.38715,-29.426836,"alive"
"27740","Delomys","Delomys dorsalis",54,128,"adult","male",-50.388398,-29.433909,"alive"
"27741","Delomys","Delomys dorsalis",55,124,"adult","male",-50.392287,-29.434648,"alive"
"27742","Delomys","Delomys dorsalis",40,113,"adult","female",-50.38715,-29.426836,"alive"
"27743","Delomys","Delomys dorsalis",45,113,"adult","female",-50.38715,-29.426836,"alive"
"27744","Delomys","Delomys dorsalis",49,118,"adult","female",-50.388398,-29.433909,"alive"
"27745","Delomys","Delomys dorsalis",49,123,"adult","male",-50.38715,-29.426836,"alive"
"27746","Delomys","Delomys dorsalis",35,105,"adult","female",-50.38715,-29.426836,"alive"
"27747","Delomys","Delomys dorsalis",60,133,"adult","male",-50.391601,-29.431914,"alive"
"27748","Delomys","Delomys dorsalis",67,124,"adult","male",-50.38715,-29.426836,"alive"
"27749","Delomys","Delomys dorsalis",47,119,"adult","male",-50.388398,-29.433909,"alive"
"27750","Delomys","Delomys dorsalis",44,109,"adult","female",-50.388398,-29.433909,"alive"
"27751","Delomys","Delomys dorsalis",47,108,"adult","female",-50.388398,-29.433909,"alive"
"27752","Delomys","Delomys dorsalis",44,114,"adult","male",-50.392287,-29.434648,"alive"
"27753","Delomys","Delomys dorsalis",53,111,"adult","male",-50.388398,-29.433909,"alive"
"27754","Delomys","Delomys dorsalis",42,115,"adult","male",-50.391601,-29.431914,"alive"
"27755","Delomys","Delomys dorsalis",56,110,"adult","male",-50.391601,-29.431914,"alive"
"27756","Delomys","Delomys dorsalis",43,109,"adult","male",-50.391601,-29.431914,"alive"
"27757","Delomys","Delomys dorsalis",62,121,"adult","male",-50.388398,-29.433909,"alive"
"27758","Delomys","Delomys dorsalis",55,127,"adult","male",-50.387945,-29.420098,"alive"
"27759","Delomys","Delomys dorsalis",40,108,"adult","male",-50.387945,-29.420098,"alive"
"27760","Delomys","Delomys dorsalis",50,115,"adult","female",-50.386926,-29.409172,"alive"
"27761","Delomys","Delomys dorsalis",36,99,"juvenile","female",-50.387945,-29.420098,"alive"
"27762","Delomys","Delomys dorsalis",49,116,"adult","male",-50.387945,-29.420098,"alive"
"27763","Delomys","Delomys dorsalis",43,108,"adult","female",-50.389769,-29.418484,"alive"
"27764","Delomys","Delomys dorsalis",37,101,"adult","female",-50.389769,-29.418484,"alive"
"27765","Delomys","Delomys dorsalis",31,97,"juvenile","male",-50.389769,-29.418484,"alive"
"27766","Delomys","Delomys dorsalis",52,119,"adult","male",-50.387945,-29.420098,"alive"
"27767","Delomys","Delomys dorsalis",57,134,"adult","male",-50.387945,-29.420098,"alive"
"27768","Delomys","Delomys dorsalis",46,112,"adult","male",-50.389769,-29.418484,"alive"
"27769","Delomys","Delomys dorsalis",30,93,"juvenile","female",-50.388358,-29.410736,"alive"
"27770","Delomys","Delomys dorsalis",58,116,"adult","male",-50.392287,-29.434648,"alive"
"27771","Delomys","Delomys dorsalis",37,102,"adult","female",-50.38715,-29.426836,"alive"
"27772","Delomys","Delomys dorsalis",41,114,"adult","female",-50.388398,-29.433909,"alive"
"27773","Delomys","Delomys dorsalis",53,106,"adult","female",-50.388398,-29.433909,"alive"
"27774","Delomys","Delomys dorsalis",40,108,"adult","female",-50.38715,-29.426836,"alive"
"27775","Delomys","Delomys dorsalis",39,99,"juvenile","male",-50.388398,-29.433909,"alive"
"27776","Delomys","Delomys dorsalis",43,117,"adult","male",-50.38715,-29.426836,"alive"
"27777","Delomys","Delomys dorsalis",43,104,"adult","male",-50.391601,-29.431914,"alive"
"27778","Delomys","Delomys dorsalis",32,112,"adult","male",-50.38715,-29.426836,"alive"
"27779","Delomys","Delomys dorsalis",35,108,"adult","female",-50.38715,-29.426836,"alive"
"27780","Delomys","Delomys dorsalis",58,127,"adult","male",-50.392287,-29.434648,"alive"
"27781","Delomys","Delomys dorsalis",51,123,"adult","female",-50.388398,-29.433909,"alive"
"27782","Delomys","Delomys dorsalis",37,102,"adult","female",-50.392287,-29.434648,"alive"
"27783","Delomys","Delomys dorsalis",32,106,"adult","female",-50.38715,-29.426836,"alive"
"27784","Delomys","Delomys dorsalis",50,124,"adult","female",-50.392287,-29.434648,"alive"
"27785","Delomys","Delomys dorsalis",38,111,"adult","female",-50.38715,-29.426836,"alive"
"27786","Delomys","Delomys dorsalis",54,116,"adult","male",-50.388398,-29.433909,"alive"
"27787","Delomys","Delomys dorsalis",65,122,"adult","male",-50.388398,-29.433909,"alive"
"27788","Delomys","Delomys dorsalis",69,124,"adult","female",-50.392287,-29.434648,"alive"
"27789","Delomys","Delomys dorsalis",38,100,"adult","female",-50.388358,-29.410736,"alive"
"27790","Delomys","Delomys dorsalis",38,110,"adult","female",-50.388358,-29.410736,"alive"
"27791","Delomys","Delomys dorsalis",40,111,"adult","male",-50.389769,-29.418484,"alive"
"27792","Delomys","Delomys dorsalis",40,109,"adult","female",-50.388358,-29.410736,"alive"
"27793","Delomys","Delomys dorsalis",34,109,"adult","female",-50.389769,-29.418484,"alive"
"27794","Delomys","Delomys dorsalis",43,110,"adult","female",-50.389769,-29.418484,"alive"
"27795","Delomys","Delomys dorsalis",51,122,"adult","female",-50.389769,-29.418484,"alive"
"27796","Delomys","Delomys dorsalis",53,112,"adult","male",-50.388358,-29.410736,"alive"
"27797","Delomys","Delomys dorsalis",41,102,"adult","male",-50.387945,-29.420098,"alive"
"27798","Delomys","Delomys dorsalis",41,114,"adult","male",-50.389769,-29.418484,"alive"
"27799","Delomys","Delomys dorsalis",50,111,"adult","male",-50.386926,-29.409172,"alive"
"27800","Delomys","Delomys dorsalis",36,103,"adult","female",-50.386926,-29.409172,"alive"
"27801","Delomys","Delomys dorsalis",42,99,"juvenile","female",-50.387945,-29.420098,"alive"
"27802","Delomys","Delomys dorsalis",37,116,"adult","female",-50.386926,-29.409172,"alive"
"27803","Delomys","Delomys dorsalis",42,120,"adult","male",-50.386926,-29.409172,"alive"
"27804","Delomys","Delomys dorsalis",43,92,"juvenile","male",-50.389769,-29.418484,"alive"
"27805","Delomys","Delomys dorsalis",55,118,"adult","male",-50.389769,-29.418484,"alive"
"27806","Delomys","Delomys dorsalis",35,109,"adult","male",-50.386926,-29.409172,"alive"
"27807","Delomys","Delomys dorsalis",30,104,"adult","female",-50.387945,-29.420098,"alive"
"27808","Delomys","Delomys dorsalis",57,114,"adult","male",-50.389769,-29.418484,"alive"
"27809","Delomys","Delomys dorsalis",53,115,"adult","male",-50.387945,-29.420098,"alive"
"27810","Delomys","Delomys dorsalis",45,103,"adult","female",-50.389769,-29.418484,"alive"
"27811","Delomys","Delomys dorsalis",61,116,"adult","male",-50.387945,-29.420098,"alive"
"27812","Delomys","Delomys dorsalis",29,100,"adult","female",-50.387945,-29.420098,"alive"
"27813","Delomys","Delomys dorsalis",35,100,"adult","male",-50.386926,-29.409172,"alive"
"27814","Delomys","Delomys dorsalis",48,116,"adult","male",-50.388398,-29.433909,"alive"
"27815","Delomys","Delomys dorsalis",39,104,"adult","female",-50.392287,-29.434648,"alive"
"27816","Delomys","Delomys dorsalis",35,88,"juvenile","female",-50.38715,-29.426836,"alive"
"27817","Delomys","Delomys dorsalis",29,90,"juvenile","female",-50.38715,-29.426836,"alive"
"27818","Delomys","Delomys dorsalis",41,112,"adult","male",-50.388398,-29.433909,"alive"
"27819","Delomys","Delomys dorsalis",47,98,"juvenile","male",-50.388398,-29.433909,"alive"
"27820","Delomys","Delomys dorsalis",40,112,"adult","female",-50.388398,-29.433909,"alive"
"27821","Delomys","Delomys dorsalis",43,98,"juvenile","male",-50.388398,-29.433909,"alive"
"27822","Delomys","Delomys dorsalis",40,110,"adult","male",-50.388398,-29.433909,"alive"
"27823","Delomys","Delomys dorsalis",50,116,"adult","female",-50.388398,-29.433909,"alive"
"27824","Delomys","Delomys dorsalis",42,110,"adult","male",-50.388398,-29.433909,"alive"
"27825","Delomys","Delomys dorsalis",60,129,"adult","female",-50.388398,-29.433909,"alive"
"27826","Delomys","Delomys dorsalis",47,121,"adult","male",-50.388398,-29.433909,"alive"
"27827","Delomys","Delomys dorsalis",49,117,"adult","female",-50.391601,-29.431914,"alive"
"27828","Delomys","Delomys dorsalis",61,130,"adult","female",-50.388398,-29.433909,"alive"
"27829","Delomys","Delomys dorsalis",35,103,"adult","male",-50.392287,-29.434648,"alive"
"27830","Delomys","Delomys dorsalis",40,101,"adult","male",-50.388398,-29.433909,"alive"
"27831","Delomys","Delomys dorsalis",48,109,"adult","male",-50.392287,-29.434648,"alive"
"27832","Delomys","Delomys dorsalis",47,126,"adult","male",-50.38715,-29.426836,"alive"
"27833","Delomys","Delomys dorsalis",60,120,"adult","female",-50.388398,-29.433909,"alive"
"27834","Delomys","Delomys dorsalis",63,118,"adult","female",-50.392287,-29.434648,"alive"
"27835","Delomys","Delomys dorsalis",51,116,"adult","female",-50.391601,-29.431914,"alive"
"27836","Delomys","Delomys dorsalis",36,97,"juvenile","female",-50.386926,-29.409172,"alive"
"27837","Delomys","Delomys dorsalis",60,132,"adult","female",-50.392287,-29.434648,"alive"
"27838","Delomys","Delomys dorsalis",52,123,"adult","male",-50.388398,-29.433909,"alive"
"27839","Delomys","Delomys dorsalis",60,111,"adult","female",-50.391601,-29.431914,"alive"
"27840","Delomys","Delomys dorsalis",30,58,"juvenile","female",-50.387945,-29.420098,"alive"
"27841","Delomys","Delomys dorsalis",58,120,"adult","female",-50.391601,-29.431914,"alive"
"27842","Delomys","Delomys dorsalis",41,116,"adult","male",-50.38715,-29.426836,"alive"
"27843","Delomys","Delomys dorsalis",62,119,"adult","male",-50.388358,-29.410736,"alive"
"27844","Delomys","Delomys dorsalis",46,100,"adult","female",-50.392287,-29.434648,"alive"
"27845","Delomys","Delomys dorsalis",48,121,"adult","male",-50.389769,-29.418484,"alive"
"27846","Delomys","Delomys dorsalis",48,121,"adult","male",-50.388358,-29.410736,"alive"
"27847","Delomys","Delomys dorsalis",30,112,"adult","female",-50.386926,-29.409172,"alive"
"27848","Delomys","Delomys dorsalis",29,98,"juvenile","female",-50.388358,-29.410736,"alive"
"27849","Delomys","Delomys dorsalis",50,118,"adult","male",-50.387945,-29.420098,"alive"
"27850","Delomys","Delomys dorsalis",46,127,"adult","male",-50.387945,-29.420098,"alive"
"27851","Delomys","Delomys dorsalis",31,104,"adult","female",-50.388398,-29.433909,"alive"
"27852","Delomys","Delomys dorsalis",42,116,"adult","male",-50.386926,-29.409172,"alive"
"27853","Delomys","Delomys dorsalis",24,78,"juvenile","female",-50.388358,-29.410736,"alive"
"27854","Delomys","Delomys dorsalis",60,125,"adult","female",-50.387945,-29.420098,"alive"
