ID_sp,Group,order,family,genus,binomial,Registers,locals,studies,N_body_mass,Body_mass_mean,Body_mass_sd,Body_mass_cv,N_body_length,Body_length_mean,Body_length_sd,Body_length_cv,N_tail_length,tail_length_mean,tail_length_sd,tail_length_cv,N_forearm,forearm_mean,forearm_sd,forearm_cv
51,Bats,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris minuta,3,3,3,3,7.833333333,2.362907813,0.301647806,0,NA,NA,NA,0,NA,NA,NA,2,34.425,1.166726189,0.033891828
52,Bats,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris schmidtorum,3,2,2,2,6.5,0.707106781,0.108785659,0,NA,NA,NA,0,NA,NA,NA,3,34.46666667,1.026320288,0.029777184
53,Bats,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris sp.,4,2,2,1,8,NA,NA,0,NA,NA,NA,0,NA,NA,NA,4,15.625,13.25,0.848
54,Bats,Chiroptera,Phyllostomidae,Mimon,Mimon bennettii,41,9,6,41,24.13414634,3.088333673,0.127965316,0,NA,NA,NA,0,NA,NA,NA,41,54.56780488,1.810591771,0.033180587
55,Bats,Chiroptera,Phyllostomidae,Phylloderma,Phylloderma stenops,8,3,4,8,70.9375,10.29020859,0.145060209,0,NA,NA,NA,0,NA,NA,NA,7,77.34142857,2.896839822,0.037455215
56,Bats,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,467,29,14,407,37.36486486,4.212217618,0.112732045,0,NA,NA,NA,0,NA,NA,NA,419,61.25768496,2.032387202,0.033177669
57,Bats,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus elongatus,3,3,3,2,44,1.414213562,0.032141217,0,NA,NA,NA,0,NA,NA,NA,3,66.53333333,1.258305739,0.018912411
58,Bats,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,82,22,14,75,98.34666667,15.99978322,0.162687601,0,NA,NA,NA,0,NA,NA,NA,74,87.56702703,3.292326791,0.037597791
59,Bats,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus incarum,7,1,1,7,15.14285714,1.069044968,0.070597309,0,NA,NA,NA,0,NA,NA,NA,7,38.97142857,1.181403524,0.030314607
60,Bats,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,607,61,25,575,24.09286957,4.976599556,0.206559021,0,NA,NA,NA,0,NA,NA,NA,591,47.24499154,2.614491095,0.055339011
61,Bats,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus recifinus,94,14,10,93,20.9655914,3.431519331,0.163673863,0,NA,NA,NA,0,NA,NA,NA,89,43.43258427,2.399054041,0.055236272
62,Bats,Chiroptera,Phyllostomidae,Pygoderma,Pygoderma bilabiatum,65,15,12,61,20.80327869,3.418428841,0.164321639,0,NA,NA,NA,0,NA,NA,NA,63,39.0852381,1.649741776,0.04220882
63,Bats,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,628,10,6,628,9.486783439,1.467967545,0.154738174,0,NA,NA,NA,0,NA,NA,NA,621,33.45394525,1.076780472,0.03218695
64,Bats,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,3155,97,50,3063,21.27116879,3.219985923,0.15137795,0,NA,NA,NA,0,NA,NA,NA,2980,42.6347651,1.436627545,0.033696152
65,Bats,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,233,20,15,230,23.54586957,3.115161246,0.132301814,0,NA,NA,NA,0,NA,NA,NA,232,45.68719828,1.67905699,0.036751148
66,Bats,Chiroptera,Phyllostomidae,Thyroptera,Thyroptera sp.,1,1,1,1,4,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,34.7,NA,NA
67,Bats,Chiroptera,Phyllostomidae,Thyroptera,Thyroptera tricolor,3,3,2,1,5,NA,NA,0,NA,NA,NA,0,NA,NA,NA,3,35.55666667,2.148960989,0.060437639
68,Bats,Chiroptera,Phyllostomidae,Tonatia,Tonatia bidens,32,5,4,32,27.45,3.667995849,0.133624621,0,NA,NA,NA,0,NA,NA,NA,32,53.73875,1.360189147,0.025311142
69,Bats,Chiroptera,Phyllostomidae,Tonatia,Tonatia saurophila,5,4,4,5,24.5,3.278719262,0.133825276,0,NA,NA,NA,0,NA,NA,NA,4,55.025,0.994568583,0.018074849
70,Bats,Chiroptera,Phyllostomidae,Trachops,Trachops cirrhosus,84,26,13,78,34.5525641,7.746016561,0.224180658,0,NA,NA,NA,0,NA,NA,NA,76,58.85513158,2.738929471,0.0465368
71,Bats,Chiroptera,Phyllostomidae,Trinycteris ,Trinycteris nicefori,5,1,1,5,8.3,0.570087713,0.068685267,0,NA,NA,NA,0,NA,NA,NA,5,35.84,0.606630036,0.016926061
72,Bats,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,57,1,1,57,18,3.063319861,0.170184437,0,NA,NA,NA,0,NA,NA,NA,57,42.06842105,1.172627985,0.027874305
73,Bats,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,52,21,12,50,10.98,2.53739381,0.231092332,0,NA,NA,NA,0,NA,NA,NA,50,34.679,2.569035593,0.07408044
74,Bats,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,3,2,2,3,35,1,0.028571429,0,NA,NA,NA,0,NA,NA,NA,3,54.16666667,0.251661148,0.004646052
75,Bats,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus brasiliensis,17,8,6,17,10.29411765,2.756009477,0.267726635,0,NA,NA,NA,0,NA,NA,NA,16,40.500625,4.129531804,0.101962175
76,Bats,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus diminutus,44,16,7,44,7.568181818,2.30669125,0.304788033,0,NA,NA,NA,0,NA,NA,NA,40,34.485,1.110393786,0.032199327
77,Bats,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus furinalis,46,13,6,46,7.75,1.89076704,0.243969941,0,NA,NA,NA,0,NA,NA,NA,37,37.27054054,1.605775939,0.043084321
78,Bats,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus,2,1,1,2,11,0.707106781,0.064282435,0,NA,NA,NA,0,NA,NA,NA,2,45.05,0.353553391,0.007848022
79,Bats,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus sp.,6,3,3,6,8,1.673320053,0.209165007,0,NA,NA,NA,0,NA,NA,NA,6,36.49833333,2.904688738,0.079584147
80,Bats,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus taddeii,10,2,2,10,13,1.56347192,0.120267071,0,NA,NA,NA,0,NA,NA,NA,10,46.92,0.958934594,0.020437651
81,Bats,Chiroptera,Vespertilionidae,Histiotus,Histiotus montanus,1,1,1,1,10.4,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,45.2,NA,NA
82,Bats,Chiroptera,Vespertilionidae,Histiotus,Histiotus sp.,1,1,1,1,13,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,48.03,NA,NA
83,Bats,Chiroptera,Vespertilionidae,Histiotus,Histiotus velatus,4,3,3,4,11.25,1.892969449,0.168263951,0,NA,NA,NA,0,NA,NA,NA,4,46.1375,2.676868506,0.058019366
84,Bats,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus blossevillii,26,10,8,25,9.02,1.64873689,0.182786795,0,NA,NA,NA,0,NA,NA,NA,26,38.61076923,1.541484799,0.039923701
85,Bats,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus ega,1,1,1,1,15,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,44.4,NA,NA
86,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis albescens,5,5,2,5,5.76,1.669730517,0.28988377,0,NA,NA,NA,0,NA,NA,NA,5,34.978,1.461820782,0.041792578
87,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis lavali,427,9,3,414,4.522222222,2.188731628,0.483994709,0,NA,NA,NA,0,NA,NA,NA,426,34.00823944,1.663324226,0.048909448
88,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis levis,6,5,3,6,7.883333333,1.059087658,0.134345157,0,NA,NA,NA,0,NA,NA,NA,6,38.86666667,0.789092306,0.020302546
89,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis nigricans,283,50,23,283,5.275265018,2.429857754,0.4606134,0,NA,NA,NA,0,NA,NA,NA,266,34.24669173,1.618387607,0.047256758
90,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis riparius,86,23,8,86,5.197674419,1.015407973,0.195358134,0,NA,NA,NA,0,NA,NA,NA,86,33.72325581,1.218936317,0.036145274
91,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis ruber,40,9,5,39,7.987179487,1.227359058,0.153666142,0,NA,NA,NA,0,NA,NA,NA,40,39.17,2.042145679,0.052135453
92,Bats,Chiroptera,Vespertilionidae,Myotis,Myotis sp.,16,6,4,16,9.5625,13.82253595,1.445493955,0,NA,NA,NA,0,NA,NA,NA,14,34.65928571,1.594540996,0.04600617
93,Large mammals,Artiodactyla,Cervidae,Mazama,Mazama americana,3,1,1,3,30333.33333,8326.663998,0.274505407,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
94,Large mammals,Artiodactyla,Cervidae,Mazama,Mazama bororo,5,1,1,5,20200,6486.524493,0.321115074,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
95,Large mammals,Artiodactyla,Cervidae,Mazama,Mazama gouazoubira,4,4,3,4,13855,4664.057604,0.336633533,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
96,Large mammals,Artiodactyla,Cervidae,Mazama,Mazama nana,2,2,2,2,11500,707.1067812,0.061487546,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
97,Large mammals,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,46,3,3,46,14202.17391,5553.596998,0.391038515,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
98,Large mammals,Artiodactyla,Tayassuidae,Tayassu,Tayassu pecari,85,5,4,85,27587.05882,10037.98486,0.363865714,13,1037.692308,90.9353109,0.087632249,12,466.6666667,88.76253646,0.190205435,0,NA,NA,NA
99,Large mammals,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,112,57,26,112,4360.937054,2571.357162,0.589634092,0,NA,NA,NA,2,140.5,14.8492424,0.105688558,0,NA,NA,NA
100,Large mammals,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,6,6,5,6,25666.66667,5006.662228,0.195064762,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
101,Large mammals,Carnivora,Canidae,Lycalopex,Lycalopex gymnocercus,3,3,1,3,4183.333333,548.4827557,0.131111416,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
102,Large mammals,Carnivora,Felidae,Leopardus,Leopardus emiliae,1,1,1,1,1447,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
103,Large mammals,Carnivora,Felidae,Leopardus,Leopardus guttulus,21,20,5,21,2441.190476,479.3013268,0.196339176,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
104,Large mammals,Carnivora,Felidae,Leopardus,Leopardus pardalis,28,24,9,28,11600.53571,2790.00144,0.240506258,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
105,Large mammals,Carnivora,Felidae,Leopardus,Leopardus tigrinus,5,4,4,5,1396.18,1273.43526,0.912085304,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
106,Large mammals,Carnivora,Felidae,Leopardus,Leopardus wiedii,18,15,10,18,2381.327778,1442.5683,0.605783174,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
107,Large mammals,Carnivora,Felidae,Panthera,Panthera onca,32,17,6,32,63203.125,19066.8854,0.301676308,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
108,Large mammals,Carnivora,Felidae,Puma,Puma concolor,40,27,11,40,37187.75,14184.66027,0.381433678,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
109,Large mammals,Carnivora,Felidae,Puma,Puma yagouaroundi,29,21,10,29,3745.872414,2704.800302,0.722074861,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
110,Large mammals,Carnivora,Mephitidae,Conepatus,Conepatus chinga,1,1,1,1,2350,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
111,Large mammals,Carnivora,Mustelidae,Eira,Eira barbara,13,11,7,13,3570.673077,2267.402881,0.635007135,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
112,Large mammals,Carnivora,Mustelidae,Galictis,Galictis cuja,15,15,5,15,1194.666667,525.1852281,0.439608171,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
113,Large mammals,Carnivora,Mustelidae,Galictis ,Galictis sp.,2,2,1,2,1345,502.0458146,0.373268264,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
114,Large mammals,Carnivora,Mustelidae,Lontra,Lontra longicaudis,12,11,5,12,9817.5,12889.06099,1.312865902,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
115,Large mammals,Carnivora,Procyonidae,Nasua,Nasua nasua,264,39,10,264,3618.564394,1267.300801,0.350221984,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
116,Large mammals,Carnivora,Procyonidae,Potos,Potos flavus,1,1,1,1,2500,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
117,Large mammals,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,23,21,15,23,7729.391304,1375.897186,0.178008479,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
118,Large mammals,Cingulata,Dasypodidae,Euphractus,Euphractus sexcinctus,2,2,2,2,4500,2121.320344,0.471404521,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
119,Large mammals,Cingulata,Dasypodidae,Cabassous,Cabassous tatouay,4,2,2,4,5175,850,0.164251208,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
120,Large mammals,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,11,7,6,11,2631.727273,1434.88704,0.545226344,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
121,Large mammals,Cingulata,Dasypodidae,Dasypus,Dasypus septemcinctus,3,2,2,3,686.6666667,272.0906712,0.39624855,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
122,Large mammals,Lagomorpha,Leporidae,Lepus,Lepus europaeus,2,2,1,2,2450,1343.502884,0.548368524,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
123,Large mammals,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus brasiliensis,12,7,6,12,628.5833333,322.8107969,0.513552905,2,285,14.14213562,0.049621529,0,NA,NA,NA,0,NA,NA,NA
124,Large mammals,Perissodactyla,Tapiridae,Tapirus,Tapirus terrestris,6,6,2,6,220000,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
125,Large mammals,Pilosa,Bradypodidae,Bradypus,Bradypus torquatus,25,21,5,25,5984.76,7973.004856,1.332217976,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
126,Large mammals,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,12,7,3,12,3360.833333,1573.527932,0.468195764,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
127,Large mammals,Pilosa,Cyclopedidae,Cyclopes,Cyclopes didactylus,1,1,1,1,161,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
128,Large mammals,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,24,20,7,24,4488.208333,1454.705737,0.324117249,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
129,Large mammals,Primates,Atelidae,Alouatta,Alouatta belzebul,15,12,13,15,3496.666667,984.2358651,0.281478322,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
130,Large mammals,Primates,Atelidae,Alouatta,Alouatta guariba,3,3,3,3,6933.333333,1814.754345,0.261743415,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
131,Large mammals,Primates,Atelidae,Brachyteles,Brachyteles arachnoides,2,1,1,2,9350,1202.081528,0.128564869,2,487.5,12.02081528,0.024658083,2,689.5,89.80256121,0.130243018,0,NA,NA,NA
132,Large mammals,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,13,4,4,13,6939.230769,2921.576234,0.421023069,10,430,91.14213564,0.211958455,10,683,159.1135164,0.232962689,0,NA,NA,NA
133,Large mammals,Primates,Callitrichidae,Callithrix,Callithrix aurita,15,8,3,15,386.5333333,81.85951962,0.211778681,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
134,Large mammals,Primates,Callitrichidae,Callithrix,Callithrix flaviceps,6,4,2,6,539.1666667,178.5053687,0.331076418,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
135,Large mammals,Primates,Callitrichidae,Callithrix,Callithrix geoffroyi,5,5,2,5,369.2,62.81480717,0.170137614,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
136,Large mammals,Primates,Callitrichidae,Callithrix,Callithrix jacchus,35,27,30,35,314.0571429,49.7723895,0.158481953,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
137,Large mammals,Primates,Callitrichidae,Callithrix,Callithrix penicillata,21,4,1,21,307.6190476,77.85594145,0.25309207,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
