blade,rope.type,p.cut,p.strength,ch1,ch2,ch3
F1,SB,0.18,0.04,2.15,2.78,2.63
F1,PI,0.18,0,2.16,2.16,2.97
F3,SB,0.16,-0.05,1.79,2.11,2.76
F3,BLAZE,0.16,0.04,1.99,1.96,2.72
F3,BLAZE,0.16,-0.03,1.83,1.73,3.21
F3,XTC,0.16,0.01,2.29,2.19,3.31
F1,BS,0.16,0,2.54,2.17,2.8
F3,BLAZE,0.15,-0.03,2.07,2.24,3.3
F3,VEL,0.15,-0.06,1.62,2.6,3.01
F1,SB,0.15,0.01,1.75,2.19,2.72
F3,BS,0.14,0,2.2,2.37,4.39
F3,XTC,0.14,-0.01,1.81,1.72,3.35
F3,BS,0.14,0.03,2.14,2.21,2.81
F1,BLAZE,0.14,0.08,1.81,1.98,2.66
F1,BS,0.13,0.08,2.5,2.99,3
F1,SB,0.13,0.05,1.79,1.73,3.64
F3,PI,0.13,-0.05,2.1,2.86,3.39
F1,SB,0.13,0,2.21,2.12,2.95
F3,BLAZE,0.13,-0.05,1.73,1.89,3.02
F1,BLAZE,0.13,0.01,2.2,2.15,2.9
F1,VEL,0.12,0.11,2.67,3.17,3.38
F1,XTC,0.12,0.09,2.14,2.35,3.48
F3,XTC,0.11,0.09,2.16,3.07,3.37
F1,BLAZE,0.11,0.12,1.98,2.45,3.06
F1,PI,0.11,0.07,2.15,2.21,2.99
F3,SB,0.11,0.2,1.99,3.35,3.61
F1,XTC,0.11,0.04,2.1,3.8,3.17
F3,BLAZE,0.11,0.02,1.83,1.76,3.29
F1,PI,0.11,0.05,1.81,2.1,3.17
F3,PI,0.1,0.08,1.85,2.48,3.29
F1,BS,0.1,0.06,1.89,1.84,3.03
F1,VEL,0.1,0.01,2.22,2.55,3.83
F1,VEL,0.1,-0.03,1.95,2.76,3.04
F1,XTC,0.1,0,1.59,1.54,2.42
F1,BS,0.09,0,1.86,1.94,3.23
F1,PI,0.09,0,1.8,1.82,2.83
F1,BLAZE,0.09,0,2.08,2.76,3.31
F3,SB,0.08,0.27,2.67,3.77,4.42
F3,BS,0.07,0.24,2.01,2.89,3.45
F3,VEL,0.07,0.02,1.87,2.17,3.21
F3,SB,0.07,0.01,2.43,2.36,3.87
F1,PI,0.07,-0.03,1.81,1.49,2.93
F3,BS,0.07,0.05,1.09,2.83,2.61
F1,XTC,0.07,-0.04,1.85,2.26,3.17
F3,PI,0.06,0.04,1.97,2.15,3.07
F3,SB,0.06,0.06,1.72,2.58,2.65
F3,XTC,0.06,0.03,2.02,2.46,3.08
F1,BS,0.06,-0.05,1.71,2.95,2.6
F1,SB,0.04,0.07,1.93,2.19,2.85
F3,PI,0.03,0.01,2.36,2.17,3.63
F3,PI,0,-0.01,1.67,2.54,3.79
