basin,sub,sta,lat,long,elev,slope,aspect,s.id,s.edge,p.edge,p.edge,p.cwedge,ba.con,ba.hard,ba.snag,ba.tot,ba.ratio,snag.sml,snag.ml,snag.l,snag.dc1,snag.dc2,snag.dc4
D,CH,2,4929062.5,435092.875,316,55,15,3,I,I,0,0,23,5,5,28,83,11,7,7,0,0,11
D,CH,3,4928840.5,435517.125,458,53,330,10,I,I,0,0,28,0,0,28,100,7,0,0,7,0,0
D,CH,4,4929042,435501.094,386,75,355,10,I,E,76,7,32,0,0,32,100,7,0,0,7,0,0
D,CH,5,4929251,435480.75,288,52,5,10,E,E,69,44,0,9,5,9,0,4,4,4,0,0,4
D,CH,6,4929447.5,435492.812,309,80,145,9,E,E,98,40,5,0,0,5,100,7,4,4,0,0,7
D,CH,7,4929631,435513.188,372,65,130,9,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,CH,8,4929803.5,435924.219,381,65,120,2,I,I,0,0,41,0,14,41,100,35,25,18,4,0,32
D,CH,9,4929622,435907.344,336,72,130,2,I,I,0,0,51,5,5,55,92,32,21,11,4,11,18
D,CH,10,4929430.5,435894.719,304,50,240,2,E,E,117,48,9,14,0,23,40,18,14,7,0,4,14
D,CH,11,4929234,435890.812,313,35,340,10,I,E,122,6,0,9,0,9,0,4,4,0,0,0,4
D,CH,12,4929033.5,435884.375,332,40,25,10,I,E,127,11,14,5,0,18,75,0,0,0,0,0,0
D,CH,13,4928828.5,435899.062,442,77,360,10,I,I,0,0,14,14,0,28,50,7,0,0,7,0,0
D,CH,14,4928808,436300.188,481,82,20,1,I,I,0,0,41,0,0,41,100,4,4,4,0,0,4
D,CH,15,4929012,436295,380,80,70,1,I,I,0,0,0,14,9,14,0,39,25,14,0,14,25
D,CH,16,4929213.5,436292.094,348,57,30,8,E,E,117,90,0,0,0,0,50,7,4,4,4,0,4
D,CH,17,4929412.5,436288.062,307,28,150,8,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,CH,18,4929598.5,436302.812,353,37,135,2,E,E,126,45,18,5,5,23,80,39,32,11,0,18,21
D,CH,19,4929783,436308.031,400,45,140,2,I,I,0,0,23,37,5,60,38,39,18,7,4,0,35
D,CH,20,4929972.5,436324.625,423,80,175,2,I,I,0,0,5,5,0,9,50,39,21,11,0,0,39
D,CH,21,4929958,436715.906,409,71,215,4,I,I,0,0,41,0,0,41,100,0,0,0,0,0,0
D,CH,22,4929772,436707.344,383,17,260,6,E,E,177,41,0,23,5,23,0,42,28,14,0,11,32
D,CH,23,4929587.5,436697.219,353,65,25,4,I,I,0,0,18,0,0,18,100,0,0,0,0,0,0
D,CH,24,4929376,436692.906,429,20,265,4,I,E,122,6,0,0,0,0,50,0,0,0,0,0,0
D,CH,25,4929207.5,436681.625,359,62,175,4,E,E,106,43,5,0,0,5,100,11,11,4,0,0,11
D,CH,26,4928996.5,436678.25,371,60,340,1,I,I,0,0,23,9,28,32,71,42,32,21,7,7,28
D,CH,27,4928796,436674.625,460,32,5,1,I,I,0,0,55,0,14,55,100,35,35,25,4,7,25
D,CH,28,4928602.5,436672.594,513,32,355,1,I,E,78,4,60,9,14,69,87,32,25,14,0,4,28
D,CH,29,4928654.5,437051.438,525,85,320,12,I,I,0,0,5,0,0,5,100,25,0,0,0,0,25
D,CH,30,4928843,437053.281,454,15,345,14,E,E,130,65,5,0,0,5,100,7,7,7,0,0,7
D,CH,31,4929037,437057.219,399,25,325,14,E,E,43,22,0,0,0,0,50,0,0,0,0,0,0
D,CH,32,4929256.5,437065,358,6,250,1,E,E,131,131,0,14,5,14,0,18,11,7,4,11,4
D,CH,33,4929418.5,437068.219,439,60,165,4,I,I,0,0,23,0,0,23,100,0,0,0,0,0,0
D,CH,34,4929341.5,437469.031,445,79,180,4,I,I,0,0,46,0,0,46,100,7,7,7,0,0,7
D,CH,35,4929164,437461.469,458,80,10,1,I,E,126,6,14,9,0,23,60,11,7,0,4,0,7
D,CH,36,4928938.5,437443.5,527,40,295,1,I,I,0,0,41,0,0,41,100,14,4,4,0,0,14
D,CH,37,4928757,437439.344,566,48,360,1,I,I,0,0,37,0,0,37,100,14,7,4,0,7,7
D,DC,1,4931789,430180.469,430,75,140,8,I,I,0,0,23,0,0,23,100,4,4,4,0,0,4
D,DC,2,4931770.5,430379.281,349,25,360,8,I,I,0,0,28,0,5,28,100,4,4,4,0,0,4
D,DC,3,4931744.5,430594.375,367,58,265,3,I,I,0,0,60,14,51,73,81,53,53,46,0,0,53
D,DC,4,4931719.5,430800,340,36,315,3,I,I,0,0,18,23,23,41,44,42,39,32,0,7,35
D,DC,5,4932127,431037.5,393,43,225,3,I,I,0,0,28,0,9,28,100,35,25,14,0,4,32
D,DC,6,4932142.5,430818.5,424,75,160,3,I,I,0,0,87,0,5,87,100,21,7,4,0,0,21
D,DC,7,4932173.5,430629.438,442,65,305,3,I,E,120,6,37,14,9,51,73,21,14,7,0,14,7
D,DC,8,4932194,430403.188,578,48,135,8,I,I,0,0,55,0,5,55,100,4,4,4,0,0,4
D,DC,9,4932202.5,430195.219,486,33,90,7,E,E,216,42,32,9,5,41,78,18,7,0,4,11,4
D,DC,10,4932195,430024.562,429,50,75,7,E,E,83,60,5,46,14,51,9,50,11,11,0,11,39
D,DC,11,4932621.5,430057.062,280,35,340,3,E,E,117,107,0,9,0,9,0,11,7,7,0,4,7
D,DC,12,4932610.5,430247.844,418,17,35,6,I,I,0,0,0,0,0,0,50,4,4,4,0,0,4
D,DC,13,4932609,430485.75,334,30,65,3,I,I,0,0,28,5,5,32,86,28,18,11,7,7,14
D,DC,14,4932597.5,430704.188,226,32,270,3,I,E,134,7,9,9,0,18,50,11,4,4,0,0,11
D,DC,15,4932586.5,430892,301,75,215,3,I,I,0,0,14,18,14,32,43,28,28,11,0,0,28
D,DC,16,4932960,431152.469,323,75,275,4,E,E,76,28,0,0,0,0,50,0,0,0,0,0,0
D,DC,17,4932995,430953.375,293,35,15,4,I,I,0,0,1,0,0,1,100,4,4,0,0,0,4
D,DC,18,4932997,430739,295,35,90,4,I,I,0,0,2,0,0,2,100,0,0,0,0,0,0
D,DC,19,4933039,430526.281,210,3,170,3,E,E,117,53,0,2,0,2,20,14,4,0,0,4,11
D,DC,20,4933042,430319.469,262,45,90,3,I,I,0,0,14,23,18,37,38,74,60,42,0,4,71
D,DC,21,4933041.5,430133.188,354,58,90,3,I,I,0,0,0,32,28,32,0,71,50,42,4,11,57
D,DC,22,4933056,429956.906,425,53,350,5,I,I,0,0,9,0,0,9,100,0,0,0,0,0,0
D,DC,23,4933423,429882.719,393,73,85,5,I,I,0,0,5,5,0,9,50,4,4,4,0,0,4
D,DC,24,4933403,430083.438,339,65,165,3,E,E,109,45,18,9,5,28,67,39,21,11,0,0,39
D,DC,25,4933393.5,430264.156,259,62,145,3,I,I,0,0,23,14,14,37,63,67,50,46,4,11,53
D,DC,26,4933381.5,430481.625,183,87,275,3,E,E,71,29,5,5,1,9,50,25,25,11,7,4,14
D,DC,27,4933364.5,430680.5,297,72,215,4,I,I,0,0,3,0,0,3,100,7,7,4,0,0,7
D,DC,28,4933357,430885.625,300,80,290,4,I,I,0,0,2,0,0,2,100,0,0,0,0,0,0
D,DC,29,4933389.5,431097.031,232,45,130,2,I,I,0,0,5,32,0,37,13,28,21,11,11,4,14
D,DC,30,4933330.5,431316.812,290,80,225,2,I,I,0,0,18,37,28,55,33,74,71,32,11,21,42
D,DC,31,4933766,431143.594,348,45,150,2,I,I,0,0,60,0,18,60,100,184,74,35,21,57,106
D,DC,32,4933772.5,430924.375,298,43,180,1,I,I,0,0,0,0,0,0,50,14,14,14,0,7,7
D,DC,33,4933782.5,430715.906,366,70,230,1,I,I,0,0,0,0,18,0,50,14,14,14,0,4,11
D,DC,34,4933789,430496.656,348,56,200,3,E,E,87,79,32,14,0,46,70,14,4,0,0,4,11
D,HC,1,4932114.5,429789.438,391,80,315,2,I,I,0,0,0,0,18,0,50,18,18,18,0,0,18
D,HC,2,4932307,429776.75,413,70,235,2,I,I,0,0,9,0,9,9,100,42,39,32,7,0,35
D,HC,3,4932482.5,429766.969,447,70,270,1,I,I,0,0,32,18,5,51,64,14,11,7,0,4,11
D,HC,4,4932673.5,429752.969,478,65,225,1,I,I,0,0,9,23,23,32,29,78,60,42,4,11,64
D,HC,5,4932652.5,429356.062,456,68,115,1,E,E,115,47,28,5,9,32,86,28,21,14,0,7,21
D,HC,6,4932455,429344.969,448,85,75,3,I,I,0,0,14,5,0,18,75,4,4,4,0,0,4
D,HC,7,4932262.5,429351.094,403,70,130,3,I,I,0,0,14,0,0,14,100,0,0,0,0,0,0
D,HC,8,4932098,429387.031,349,55,120,3,I,I,0,0,28,0,0,28,100,0,0,0,0,0,0
D,HC,9,4931911,429393.281,333,35,145,7,E,E,76,21,18,9,0,28,67,4,0,0,4,0,0
D,HC,10,4931737,429404.188,288,75,140,7,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,HC,11,4931535,429413.438,250,23,175,7,E,E,90,16,0,0,5,0,50,7,7,7,0,0,7
D,HC,12,4931126,429060.188,325,16,15,11,I,I,0,0,37,0,5,37,100,14,14,7,0,0,14
D,HC,13,4931309.5,429043.312,280,23,15,11,E,E,168,69,37,0,5,37,100,7,4,4,4,0,4
D,HC,14,4931501.5,429036.406,265,22,205,7,E,E,125,34,0,0,0,0,50,11,4,0,4,4,4
D,HC,15,4931699.5,429026.312,314,73,230,7,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,HC,16,4931875,429024.688,367,72,280,7,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,HC,17,4932067,429004.812,382,60,185,4,E,E,59,21,0,0,14,0,50,28,28,21,0,0,28
D,HC,18,4932259.5,429011.844,384,87,180,4,E,E,107,97,14,0,14,14,100,39,32,18,0,18,21
D,HC,19,4932423.5,428987.969,433,68,200,4,E,E,93,55,0,0,0,0,50,0,0,0,0,0,0
D,HC,20,4932227.5,428606.438,430,76,115,6,I,I,0,0,18,5,0,23,80,4,4,4,0,0,4
D,HC,21,4932061.5,428609.781,412,78,140,6,I,E,112,10,18,0,0,18,100,0,0,0,0,0,0
D,HC,22,4931859,428626.062,337,93,200,7,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,HC,23,4931674.5,428634.281,290,70,135,7,E,E,115,26,0,0,0,0,50,7,4,4,0,0,7
D,HC,24,4931470.5,428647.094,304,27,15,10,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,HC,25,4931283.5,428666.281,364,42,35,10,E,E,136,56,5,0,0,5,100,18,0,0,14,4,0
D,HC,26,4931095.5,428668.969,386,27,70,11,I,I,0,0,9,0,5,9,100,21,21,21,0,0,21
D,HC,27,4931070,428289.719,356,58,5,12,I,E,124,6,28,0,14,28,100,28,21,21,0,4,25
D,HC,28,4931264.5,428276.344,345,45,110,14,I,I,0,0,0,5,0,5,0,0,0,0,0,0,0
D,HC,29,4931456,428274.594,379,33,165,14,I,I,0,0,5,0,0,5,100,7,7,7,0,0,7
D,HC,30,4931646.5,428282.125,447,73,140,16,I,I,0,0,32,0,41,32,100,88,64,39,0,25,64
D,HC,31,4931991,427863.281,442,35,180,16,I,I,0,0,46,0,32,46,100,88,71,53,0,18,71
D,HC,32,4931812.5,427855.844,376,50,125,16,I,I,0,0,23,0,9,23,100,46,42,42,0,14,32
D,HC,33,4931629.5,427855.562,366,42,140,16,E,E,108,64,60,0,32,60,100,170,124,39,0,35,134
D,HC,34,4931429.5,427869.25,339,55,70,14,E,E,53,12,0,0,0,0,50,7,7,7,0,0,7
D,HC,35,4931243.5,427888.531,353,52,80,13,E,E,62,14,0,0,5,0,50,11,7,4,0,0,11
D,LF,1,4931299.5,432722.375,322,55,210,1,I,I,0,0,51,0,18,51,100,106,28,21,7,42,57
D,LF,2,4931167,432864.312,303,50,230,1,I,I,0,0,9,55,28,64,14,32,32,25,0,0,32
D,LF,3,4931023.5,433003.719,317,50,160,1,I,I,0,0,28,23,18,51,55,21,21,18,0,0,21
D,LF,4,4930891,433133.594,353,15,295,1,I,I,0,0,14,55,18,69,20,64,28,18,0,7,57
D,LF,5,4930361.5,433117.438,440,40,335,7,I,E,157,8,5,0,5,5,100,7,7,7,0,0,7
D,LF,6,4930491,432992.781,426,90,30,8,E,E,143,33,0,32,14,32,0,39,18,18,0,0,39
D,LF,7,4930633,432855.875,437,40,360,9,I,I,0,0,0,0,5,0,50,28,25,0,4,4,21
D,LF,8,4930761.5,432720.312,381,80,90,1,I,I,0,0,18,0,28,18,100,32,32,28,18,0,14
D,LF,9,4930902,432586.375,384,55,245,1,E,E,66,60,60,5,5,64,93,21,14,11,0,4,18
D,LF,10,4931026.5,432459.562,325,40,330,1,I,I,0,0,46,9,23,55,83,28,28,25,4,0,25
D,LF,11,4931152,432327.938,253,2,230,7,E,E,211,87,0,9,0,9,0,7,0,0,0,7,0
D,LF,12,4931312,432170.438,327,38,160,1,I,I,0,0,14,64,32,78,18,53,39,32,0,0,53
D,LF,13,4931093.5,431842.406,332,20,120,1,E,E,121,67,0,37,5,37,0,64,21,4,18,32,14
D,LF,14,4930947,431978.719,310,60,130,2,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,LF,15,4930807.5,432112.75,248,2,210,7,E,E,143,47,0,0,5,0,50,21,14,11,0,0,21
D,LF,16,4930673,432250.312,345,75,250,1,I,I,0,0,129,0,14,129,100,67,32,25,4,11,53
D,LF,17,4930535.5,432376.875,357,80,220,1,I,I,0,0,23,14,14,37,63,28,21,21,0,4,25
D,LF,18,4930409.5,432510.719,392,80,230,1,I,I,0,0,73,9,5,83,89,25,18,14,0,4,21
D,LF,19,4930275.5,432653.688,435,95,340,7,E,E,229,56,18,37,5,55,33,11,7,7,4,0,7
D,LF,20,4930117,432299.656,409,70,230,7,I,I,0,0,5,0,0,5,100,7,4,0,0,0,7
D,LF,21,4930196.5,432166.75,330,65,230,7,I,I,0,0,28,0,5,28,100,18,14,14,4,0,14
D,LF,22,4930332,432033.219,344,60,290,7,I,I,0,0,0,18,5,18,0,11,11,11,0,0,11
D,LF,23,4930453.5,431893.656,253,65,315,7,E,E,102,51,0,0,0,0,50,11,11,11,0,0,11
D,LF,24,4930598.5,431761.219,269,55,160,2,I,E,126,6,0,0,0,0,50,0,0,0,0,0,0
D,LF,25,4930749.5,431629.812,344,50,140,3,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,LF,26,4930454.5,431337.219,249,50,200,2,I,I,0,0,0,0,5,0,50,4,4,4,0,0,4
D,LF,27,4930310.5,431478.406,226,35,230,2,E,E,130,35,0,0,0,0,50,0,0,0,0,0,0
D,LF,28,4930175.5,431612.531,229,2,290,4,E,E,132,60,0,5,0,5,0,0,0,0,0,0,0
D,LF,29,4930044.5,431753.938,242,45,5,4,E,E,126,29,9,0,0,9,100,0,0,0,0,0,0
D,LF,30,4929909,431887.156,267,35,15,7,I,I,0,0,14,9,5,23,60,7,7,4,0,0,7
D,LF,31,4929791.5,432022.688,321,35,300,7,I,I,0,0,23,0,5,23,100,7,7,7,0,0,7
D,LF,32,4929914.5,431344.469,303,45,330,4,I,I,0,0,0,0,0,0,50,7,7,7,0,0,7
D,NC,1,4927579.5,436862.188,314,75,205,1,I,E,113,6,60,5,5,64,93,53,32,21,11,21,21
D,NC,2,4927441,436774.562,233,48,200,1,I,I,0,0,55,0,5,55,100,57,32,14,0,18,39
D,NC,3,4927304.5,436701.312,116,75,295,1,I,I,0,0,5,9,0,14,33,4,4,0,0,0,4
D,NC,4,4927095,436606.906,240,65,50,1,I,I,0,0,0,14,23,14,0,46,42,39,11,14,21
D,NC,5,4926906,436528.156,325,75,20,1,I,I,0,0,18,0,18,18,100,85,81,64,21,11,53
D,NC,6,4926527,436770,338,40,55,1,I,I,0,0,14,23,14,37,38,39,32,28,0,7,32
D,NC,7,4926702,436864.875,339,27,75,1,I,E,127,6,37,5,28,41,89,64,53,42,0,4,60
D,NC,8,4926879,436955.5,298,50,50,1,I,I,0,0,46,0,18,46,100,64,64,50,0,4,60
D,NC,9,4927068,437053.594,181,87,360,1,I,I,0,0,9,23,9,32,29,18,11,11,0,4,14
D,NC,10,4927244,437147.031,208,73,175,1,I,E,75,4,37,18,14,55,67,57,42,28,4,11,42
D,NC,11,4927407.5,437233.344,315,32,210,1,I,I,0,0,92,0,0,92,100,11,4,4,4,4,4
D,NC,12,4927579.5,437337.281,387,78,220,1,I,I,0,0,69,0,9,69,100,35,21,11,4,7,25
D,NC,13,4927383,437678.875,425,30,185,1,I,E,127,6,37,0,9,37,100,50,28,18,4,0,46
D,NC,14,4927209,437582.531,380,45,240,1,I,I,0,0,46,0,18,46,100,74,60,25,18,14,42
D,NC,15,4927059,437503.188,299,32,190,1,I,I,0,0,69,0,9,69,100,64,50,28,0,25,39
D,NC,16,4926880,437407.75,215,63,20,1,I,I,0,0,55,5,14,60,92,32,25,18,0,7,25
D,NC,17,4926698.5,437314.5,292,20,345,1,I,I,0,0,14,0,60,14,100,103,96,85,4,39,60
D,NC,18,4926519.5,437221.094,339,57,315,2,I,E,155,14,0,0,0,0,50,18,11,7,0,0,18
D,NC,19,4926345,437121.5,371,55,225,2,E,E,127,46,23,0,18,23,100,106,78,39,11,35,60
D,NC,20,4926167.5,437034.469,401,40,350,1,I,I,0,0,55,0,46,55,100,117,96,57,18,28,71
D,NC,21,4926001,437409.656,454,33,35,2,I,I,0,0,32,0,9,32,100,28,14,11,7,4,18
D,NC,22,4926164,437496.438,369,45,55,2,I,E,122,6,5,0,0,5,100,0,0,0,0,0,0
D,NC,23,4926347,437602,285,60,235,2,I,E,127,6,0,0,0,0,50,0,0,0,0,0,0
D,NC,24,4926519.5,437687,336,55,260,2,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,NC,25,4926704,437785.25,264,80,15,1,I,I,0,0,37,0,5,37,100,32,21,7,0,11,21
D,NC,26,4926868,437870.844,318,75,230,1,I,I,0,0,60,9,18,69,87,50,39,18,7,14,28
D,NC,27,4927035.5,437951.156,398,34,265,1,I,I,0,0,41,0,0,41,100,14,7,4,4,0,11
D,NC,28,4927219,438042.531,434,50,355,1,I,I,0,0,51,5,9,55,92,39,28,14,0,7,32
D,NC,29,4927378,438127.656,450,43,240,1,I,E,116,6,28,14,9,41,67,39,21,11,0,4,35
D,NC,30,4927051,438395.344,402,60,235,2,I,I,0,0,9,0,0,9,100,11,11,7,0,0,11
D,NC,31,4926864.5,438308.281,359,80,230,2,I,I,0,0,18,0,0,18,100,11,11,11,0,0,11
D,NC,32,4926697.5,438233.469,288,95,255,2,I,E,115,10,5,0,0,5,100,0,0,0,0,0,0
D,NC,33,4926522,438147.969,298,110,255,2,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,NC,34,4926338,438048.75,282,80,115,2,I,E,125,6,9,0,5,9,100,7,7,4,0,0,7
D,NC,35,4926162.5,437940.688,372,73,345,2,I,I,0,0,0,23,0,23,0,21,7,4,0,14,7
D,NC,36,4925985.5,437845.781,432,45,115,2,I,E,106,5,0,9,5,9,0,39,18,14,0,0,39
D,NC,37,4926142,438399.562,391,55,225,2,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,NN,1,4926978,429960.656,229,80,25,4,E,E,174,53,0,32,0,32,0,0,0,0,0,0,0
D,NN,2,4927135.5,429814.219,185,80,70,3,I,E,101,5,0,28,9,28,0,11,11,11,0,0,11
D,NN,3,4927258,429683.531,213,60,335,3,I,E,129,6,14,14,0,28,50,14,4,4,0,0,14
D,NN,4,4927461,429527.5,175,70,170,3,I,E,81,4,32,0,0,32,100,14,14,14,0,0,14
D,NN,5,4927609,429372.062,238,105,35,3,I,I,0,0,37,0,0,37,100,7,4,4,0,0,7
D,NN,6,4927733.5,429240.5,296,90,120,3,I,I,0,0,18,0,0,18,100,0,0,0,0,0,0
D,NN,7,4927872.5,428497.969,392,43,115,3,I,E,148,7,9,0,0,9,100,4,4,4,0,0,4
D,NN,8,4927720.5,428660.469,421,53,170,3,I,I,0,0,46,0,0,46,100,32,32,21,0,0,32
